Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;09;06;17;384;331;6519;22139;22139;5403;1831
2014;09;06;18;384;327;6611;23235;23235;4892;2430
2014;09;06;19;384;263;5508;21321;21321;4650;1505
2014;09;06;20;384;238;5230;19872;19872;4771;1081
2014;09;06;21;384;181;4434;16019;16019;4384;615
2014;09;06;22;384;188;4589;15687;15687;4476;685
2014;09;06;23;383;144;4740;12842;12842;4431;836
2014;09;07;00;384;127;4038;10755;10755;4179;370
2014;09;07;01;384;78;4389;9287;9287;4501;350
2014;09;07;02;384;56;3738;6835;6835;3931;247
2014;09;07;03;384;21;3431;5015;5015;3836;0
2014;09;07;04;384;25;3647;2936;2936;4032;24
2014;09;07;05;384;12;3460;2215;2215;3856;0
2014;09;07;06;384;5;3493;1474;1474;3882;0
2014;09;07;07;384;12;3455;2228;2228;3827;24
2014;09;07;08;384;42;3481;3327;3327;3857;50
2014;09;07;09;384;148;5022;9522;9522;4510;1044
2014;09;07;10;384;265;6370;18205;18205;5054;1965
2014;09;07;11;384;347;6227;23770;23770;5111;1847
2014;09;07;12;384;407;6020;28693;28693;5413;1398
2014;09;07;13;384;368;5541;28543;28543;5179;1114
2014;09;07;14;384;294;5020;23005;23005;4977;721
2014;09;07;15;384;296;5177;24168;24168;5026;831
2014;09;07;16;384;350;7830;24262;24262;6076;2488
2014;09;07;17;384;473;7196;32472;32472;5353;2700
2014;09;07;18;384;383;6364;33151;33151;5719;1412
2014;09;07;19;384;444;6420;32950;32950;5474;1774
2014;09;07;20;384;444;6064;40050;40050;5053;1839
2014;09;07;21;384;412;5258;40522;40522;4817;1237
2014;09;07;22;384;395;5069;37096;37096;4836;1012
2014;09;07;23;384;265;4898;26424;26424;4462;1085
2014;09;08;00;384;199;4675;20597;20597;4462;796
2014;09;08;01;384;102;4259;10986;10986;4082;663
2014;09;08;02;384;47;3849;8501;8501;3921;359
2014;09;08;03;384;40;3715;6126;6126;3872;267
2014;09;08;04;384;40;3699;5720;5720;3969;154
2014;09;08;05;384;27;3587;4654;4654;3884;114
2014;09;08;06;384;35;3762;4149;4149;4053;128
2014;09;08;07;384;92;4890;5956;5956;5192;174
2014;09;08;08;384;320;10916;18082;18082;9778;1842
2014;09;08;09;384;661;24451;31416;31416;21733;3763
2014;09;08;10;384;1004;41633;48153;48153;36526;6495
2014;09;08;11;384;1021;39878;53354;53354;35269;6014
2014;09;08;12;384;1196;47013;57201;57201;43145;5448
2014;09;08;13;384;1070;36957;61796;61796;35107;3304
2014;09;08;14;384;836;20948;55854;55854;18915;3253
2014;09;08;15;384;807;14898;53036;53036;12865;3224
2014;09;08;16;384;737;12842;61877;61877;10001;3962
2014;09;08;17;384;727;12141;60982;60982;10396;2856
2014;09;08;18;384;724;14523;54035;54035;12214;3417
2014;09;08;19;384;691;12003;48211;48211;10431;2647
2014;09;08;20;384;562;6025;43942;43942;5569;1402
2014;09;08;21;384;481;5074;35716;35716;4991;948
2014;09;08;22;384;463;4271;39031;39031;4594;524
2014;09;08;23;384;401;4583;41969;41969;4539;829
2014;09;09;00;384;233;4376;23379;23379;4217;776
2014;09;09;01;384;116;3775;14670;14670;4158;117
2014;09;09;02;384;72;3678;9819;9819;4032;102
2014;09;09;03;384;43;3539;6606;6606;3857;109
2014;09;09;04;384;14;3488;5485;5485;3860;26
2014;09;09;05;384;16;3436;3497;3497;3836;0
2014;09;09;06;384;32;3474;3895;3895;3848;42
2014;09;09;07;384;78;3924;6819;6819;4031;355
2014;09;09;08;384;240;4654;19493;19493;4777;501
2014;09;09;09;384;507;7022;36551;36551;6465;1448
2014;09;09;10;384;788;13063;53525;53525;10808;3427
2014;09;09;11;384;874;11436;59186;59186;9134;3560
2014;09;09;12;384;889;9858;59948;59948;7662;3469
2014;09;09;13;384;743;7745;57603;57603;6596;2276
2014;09;09;14;384;637;6258;52794;52794;5983;1296
2014;09;09;15;384;590;8368;46545;46545;7564;1778
2014;09;09;16;384;620;9522;45541;45541;7180;3346
2014;09;09;17;384;589;8500;47256;47256;5894;3579
2014;09;09;18;384;625;6857;46835;46835;5436;2430
2014;09;09;19;384;657;7247;48771;48771;5856;2432
2014;09;09;20;384;561;6475;44986;44986;5366;2054
2014;09;09;21;384;507;5184;44923;44923;5095;980
2014;09;09;22;384;514;5336;43075;43075;4678;1556
2014;09;09;23;380;387;4926;33208;33208;4858;835
2014;09;10;00;384;281;4322;25048;25048;4335;652
2014;09;10;01;384;106;3779;14643;14643;4027;242
2014;09;10;02;384;50;3482;7794;7794;3835;81
2014;09;10;03;384;32;3662;5785;5785;3848;230
2014;09;10;04;384;16;3604;4775;4775;3997;7
2014;09;10;05;384;21;3671;4440;4440;3843;233
2014;09;10;06;384;24;3550;4764;4764;3839;119
2014;09;10;07;384;123;5397;8850;8850;5373;531
2014;09;10;08;384;522;26395;22596;22596;17878;9423
2014;09;10;09;384;1019;57457;41096;41096;41902;16958
2014;09;10;10;376;1267;57945;56704;56704;41533;18055
2014;09;10;11;384;1396;77852;64265;64265;64032;15600
2014;09;10;12;384;1644;59239;83533;83533;43891;17376
2014;09;10;13;384;1570;46672;92129;92129;37352;11274
2014;09;10;14;382;1349;30419;100910;100910;20730;11420
2014;09;10;15;384;1486;37176;107376;107376;21911;17135
2014;09;10;16;384;1686;38486;106091;106091;24510;16046
2014;09;10;17;384;1641;35085;110515;110515;23669;13441
2014;09;10;18;384;1481;27581;103553;103553;17775;11671
2014;09;10;19;384;1247;15908;100081;100081;12235;5304
2014;09;10;20;384;1296;12114;98881;98881;9217;4577
2014;09;10;21;384;1128;7295;95689;95689;5863;2944
2014;09;10;22;384;994;6035;83665;83665;5466;1947
2014;09;10;23;383;728;5901;70073;70073;4885;2127
2014;09;11;00;384;383;6311;31598;31598;4549;2529
2014;09;11;01;384;163;4118;16920;16920;4182;483
2014;09;11;02;384;69;3873;9468;9468;3962;364
2014;09;11;03;384;39;3666;6929;6929;4044;45
2014;09;11;04;384;20;3489;5143;5143;3869;24
2014;09;11;05;384;31;3507;5553;5553;3922;0
2014;09;11;06;384;68;3826;6090;6090;3975;303
2014;09;11;07;384;218;7239;14732;14732;5227;2614
2014;09;11;08;384;964;53519;30926;30926;22806;32061
2014;09;11;09;384;1400;77651;53057;53057;41592;37843
2014;09;11;10;384;1873;76622;67289;67289;49337;29542
2014;09;11;11;515;2059;51076;71735;71735;33064;20586
2014;09;11;12;387;2265;49966;89630;89630;34983;17635
2014;09;11;13;1340;2226;43839;114805;114805;34106;13299
2014;09;11;14;1244;2093;35248;150745;150745;24885;13700
2014;09;11;15;384;2422;47347;158587;158587;23017;27136
2014;09;11;16;384;2579;63257;156593;156593;36238;29982
2014;09;11;17;384;2156;39853;140416;140416;21392;21001
2014;09;11;18;384;1879;25652;128118;128118;16623;11292
2014;09;11;19;384;1874;18329;138518;138518;11193;9394
2014;09;11;20;384;1681;10144;134705;134705;8802;3407
2014;09;11;21;384;1521;6931;125755;125755;6214;2622
2014;09;11;22;384;1403;6284;112881;112881;5597;2474
2014;09;11;23;384;1036;5681;92893;92893;5424;1677
2014;09;12;00;384;540;5384;45122;45122;4520;1788
2014;09;12;01;381;184;3989;18226;18226;4138;416
2014;09;12;02;384;67;3784;8342;8342;3899;336
2014;09;12;03;384;47;3843;6407;6407;3874;400
2014;09;12;04;384;39;3674;7068;7068;3865;232
2014;09;12;05;384;33;3692;5237;5237;4045;64
2014;09;12;06;384;53;3484;6195;6195;3883;38
2014;09;12;07;384;278;10487;15845;15845;6276;4873
2014;09;12;08;384;1026;43379;36227;36227;22564;22225
2014;09;12;09;384;1592;63147;59585;59585;31607;33516
2014;09;12;10;384;1799;67881;73996;73996;43439;26625
2014;09;12;11;384;1963;62088;94513;94513;39539;24896
2014;09;12;12;384;2012;55879;100043;100043;39861;18414
2014;09;12;13;384;1889;39717;108389;108389;30251;11739
2014;09;12;14;384;1513;27128;86630;86630;17720;11305
2014;09;12;15;384;1544;31337;84746;84746;16918;16347
2014;09;12;16;384;1504;23422;87508;87508;14403;10907
2014;09;12;17;384;1425;23789;85479;85479;15413;10185
2014;09;12;18;384;1272;14478;77961;77961;9688;6446
2014;09;12;19;384;1078;11750;73668;73668;10903;2309
2014;09;12;20;384;940;5848;64911;64911;5963;1209
2014;09;12;21;384;742;4617;58247;58247;4932;811
2014;09;12;22;384;656;5204;52534;52534;4643;1601
2014;09;12;23;384;414;3957;35333;35333;4471;284
2014;09;13;00;384;256;4132;21575;21575;4238;534
2014;09;13;01;384;139;3615;13362;13362;4068;70
2014;09;13;02;384;85;3611;9577;9577;3918;162
2014;09;13;03;384;25;3468;4365;4365;3852;25
2014;09;13;04;384;24;3603;3168;3168;3864;147
2014;09;13;05;384;31;3505;3309;3309;3857;63
2014;09;13;06;384;23;3434;2969;2969;3841;0
2014;09;13;07;384;40;3449;4689;4689;3855;18
2014;09;13;08;384;152;3475;12184;12184;3968;43
2014;09;13;09;384;420;5155;24932;24932;4521;1438
2014;09;13;10;384;701;4674;43507;43507;5300;459
2014;09;13;11;384;968;5855;61154;61154;5438;1769
2014;09;13;12;384;986;5711;62021;62021;5520;1561
2014;09;13;13;384;821;4810;58779;58779;4917;1098
2014;09;13;14;384;625;4571;43842;43842;4712;868
2014;09;13;15;384;640;4672;43439;43439;4728;968
2014;09;13;16;384;674;4962;45887;45887;4656;1364
2014;09;13;17;384;756;5079;51935;51935;4813;1406
2014;09;13;18;384;527;4447;41048;41048;4619;739
2014;09;13;19;384;636;4857;44608;44608;4994;883
2014;09;13;20;384;521;4445;34045;34045;4805;545
2014;09;13;21;384;553;4656;37021;37021;4596;997
2014;09;13;22;384;407;3722;29212;29212;4386;127
2014;09;13;23;384;332;4001;25707;25707;4375;342
2014;09;14;00;384;167;3664;15803;15803;4149;66
2014;09;14;01;384;125;3695;10441;10441;4054;150
2014;09;14;02;384;74;3448;6702;6702;3906;0
2014;09;14;03;384;32;3444;4636;4636;3860;0
2014;09;14;04;384;16;3522;2518;2518;3855;67
2014;09;14;05;384;49;3443;2009;2009;3876;0
2014;09;14;06;384;14;3434;1768;1768;3832;0
2014;09;14;07;384;25;3431;2252;2252;3840;0
2014;09;14;08;384;104;3520;7480;7480;3919;89
2014;09;14;09;384;294;3808;19907;19907;4388;98
2014;09;14;10;384;504;4119;33506;33506;4533;474
2014;09;14;11;384;832;4759;54029;54029;4984;991
2014;09;14;12;384;957;5259;60127;60127;5266;1334
2014;09;14;13;384;803;4411;53207;53207;4861;737
2014;09;14;14;384;628;5611;42571;42571;4636;1987
2014;09;14;15;384;733;5451;44890;44890;5099;1469
2014;09;14;16;384;828;5194;60368;60368;5074;1332
2014;09;14;17;384;838;5201;55671;55671;5365;1058
2014;09;14;18;384;748;5326;58250;58250;4968;1490
2014;09;14;19;384;923;5534;61356;61356;5034;1807
2014;09;14;20;383;737;5751;51538;51538;4966;1905
2014;09;14;21;384;620;4544;43918;43918;4821;727
2014;09;14;22;368;550;4289;41393;41393;4514;693
2014;09;14;23;384;430;3716;31145;31145;4484;46
2014;09;15;00;384;266;3731;21506;21506;4260;121
2014;09;15;01;384;114;3876;11087;11087;4045;329
2014;09;15;02;384;50;3562;6693;6693;3881;115
2014;09;15;03;384;41;3688;5579;5579;3869;244
2014;09;15;04;384;24;3859;3634;3634;3863;404
2014;09;15;05;384;20;3560;3481;3481;3847;117
2014;09;15;06;384;28;3605;3682;3682;3842;175
2014;09;15;07;384;68;3521;7318;7318;3884;89
2014;09;15;08;384;255;4725;18105;18105;4454;910
2014;09;15;09;384;715;6164;44582;44582;6120;1143
2014;09;15;10;384;1284;8103;83954;83954;7267;2504
2014;09;15;11;384;1610;7523;105030;105030;7206;2311
2014;09;15;12;384;1541;7321;101842;101842;7137;2109
2014;09;15;13;384;1613;7829;106088;106088;7013;2813
2014;09;15;14;384;1236;6448;81448;81448;5815;2253
2014;09;15;15;384;1207;5871;77737;77737;5840;1622
2014;09;15;16;384;1402;8334;91998;91998;6951;3169
2014;09;15;17;384;1508;9291;92812;92812;7747;3436
2014;09;15;18;384;1365;8141;89968;89968;6295;3595
2014;09;15;19;384;1478;7779;94925;94925;6899;2742
2014;09;15;20;384;1576;6880;98848;98848;6163;2677
2014;09;15;21;384;1452;7608;102906;102906;6032;3412
2014;09;15;22;384;1528;5923;96950;96950;5521;2314
2014;09;15;23;384;1026;5903;71651;71651;5180;2133
2014;09;16;00;384;451;5574;32978;32978;4432;1977
2014;09;16;01;384;152;4146;14578;14578;4083;599
2014;09;16;02;384;58;3601;8314;8314;3889;154
2014;09;16;03;384;45;3783;6696;6696;3873;339
2014;09;16;04;384;31;3460;10309;10309;3855;20
2014;09;16;05;384;33;3454;9236;9236;3871;0
2014;09;16;06;384;92;3553;13046;13046;3911;118
2014;09;16;07;384;313;8786;21890;21890;6591;2892
2014;09;16;08;384;1403;65242;41539;41539;23785;43244
2014;09;16;09;384;2010;99655;63279;63279;43054;58995
2014;09;16;10;384;2295;107524;77147;77147;56638;53565
2014;09;16;11;384;2419;105825;84247;84247;56112;52516
2014;09;16;12;384;2143;81339;91962;91962;51721;32145
2014;09;16;13;384;1920;55053;100428;100428;36143;21214
2014;09;16;14;381;1879;38395;96032;96032;20720;19935
2014;09;16;15;384;2682;57159;126543;126543;22837;37388
2014;09;16;16;384;2856;55133;139019;139019;27642;30731
2014;09;16;17;384;2690;51334;136437;136437;28536;25872
2014;09;16;18;384;2678;40641;139620;139620;22394;21309
2014;09;16;19;384;2477;24023;144393;144393;16616;10268
2014;09;16;20;384;2251;11035;145074;145074;8556;5114
2014;09;16;21;384;2125;6465;137461;137461;6727;2247
2014;09;16;22;382;1810;6853;128641;128641;5810;3235
2014;09;16;23;382;1362;5259;90907;90907;5453;1550
2014;09;17;00;384;534;4670;41817;41817;4525;1063
2014;09;17;01;384;173;3940;15349;15349;4103;394
2014;09;17;02;384;63;3917;8860;8860;3895;469
2014;09;17;03;384;31;3603;6487;6487;3858;160
2014;09;17;04;384;18;3456;4724;4724;3858;0
2014;09;17;05;384;19;3481;3141;3141;3846;38
2014;09;17;06;384;60;3673;5528;5528;3871;246
2014;09;17;07;384;318;9732;16707;16707;7055;3379
2014;09;17;08;384;1576;78676;34666;34666;38706;41930
2014;09;17;09;384;2121;119247;61893;61893;59298;62454
2014;09;17;10;384;2557;119267;83662;83662;64172;58036
2014;09;17;11;384;2704;102044;89762;89762;57020;48112
2014;09;17;12;384;2596;90172;106627;106627;57111;36041
2014;09;17;13;384;2288;63496;111240;111240;42931;23237
2014;09;17;14;384;1887;32716;105020;105020;19693;15294
2014;09;17;15;384;2607;50497;129392;129392;28513;24975
2014;09;17;16;384;2796;51547;136415;136415;26176;28551
2014;09;17;17;384;2823;46481;144037;144037;22482;27206
2014;09;17;18;384;2698;38705;138361;138361;19795;21992
2014;09;17;19;384;2148;23574;122745;122745;13919;12187
2014;09;17;20;384;2128;12029;132470;132470;8737;5804
2014;09;17;21;384;1933;7800;124648;124648;6555;3562
2014;09;17;22;384;1596;6444;106325;106325;6228;2196
2014;09;17;23;384;1185;6782;78420;78420;5288;3063
2014;09;18;00;384;565;6718;38575;38575;4818;2849
2014;09;18;01;384;186;4796;17080;17080;4178;1188
2014;09;18;02;384;57;3630;8036;8036;3874;197
2014;09;18;03;384;24;3496;4957;4957;3839;65
2014;09;18;04;384;2;3455;3226;3226;3841;0
2014;09;18;05;384;24;3437;3384;3384;3845;0
2014;09;18;06;384;73;3594;6220;6220;3878;173
2014;09;18;07;384;331;8383;15367;15367;6598;2500
2014;09;18;08;384;1462;66422;32145;32145;28886;39382
